

***********    Page Summary   **************
run, id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
Current Run,0,Amazon Home,2022-08-08,16:29:53,https://www.amazon.com/,WINDOWS,10,Chrome,104,3789,42,201,114,1423,2008,49,464062,24822.700000000652
Base Run,0,Amazon Home,2022-08-07,14:00:13,https://www.amazon.com/,WINDOWS,10,Chrome,104,3314,913,534,279,1506,68,300,2971487,102422.0

***********    Page Type Diff Analysis   **************
type, items, size, duration, comparison result
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2019/August/DashboardCard/PS4_120X._SY85_CB438749318_.jpg,img,-1855,-434.5,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2019/February/Dashboard/computer120x._SY85_CB468850970_.jpg,img,-3189,-445.0,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2019/February/Dashboard/Baby120X._SY85_CB468850882_.jpg,img,-1958,-447.4000000001397,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2019/February/Dashboard/Toys120X._SY85_CB468851693_.jpg,img,-2614,-446.60000000009313,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2020/October/Fuji_D2_45M_en_US_1x._CB418309979_.jpg,img,-11420,-446.79999999981374,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2022/February/DashboardCards/Fuji_dash_dress_1X._SY304_CB626369146_.jpg,img,-19746,-447.0999999998603,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2022/February/DashboardCards/GW_CONS_AUS_HPC_HPCEssentials_CatCard_Desktop1x._SY304_CB627424361_.jpg,img,-9488,-445.9000000001397,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2020/May/Dashboard/Fuji_Dash_PC_1x._SY304_CB431800965_.jpg,img,-12141,-445.5999999998603,exist only in reference
https://m.media-amazon.com/images/I/61xLblri-cL._AC_SY230_.jpg,img,-28397,-581.5999999998603,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2020/May/Dashboard/Fuji_Dash_Electronics_1x._SY304_CB432774322_.jpg,img,-19870,-446.0,exist only in reference
https://m.media-amazon.com/images/I/41YyGt8ZxZL._SY160_.jpg,img,-12544,-481.5,exist only in reference
https://m.media-amazon.com/images/I/31zfE4fiizL._SY75_.jpg,img,-2985,-482.0,exist only in reference
https://m.media-amazon.com/images/I/31W65BL9JkL._SY75_.jpg,img,-3233,-482.29999999981374,exist only in reference
https://m.media-amazon.com/images/I/31jqcXyW3ML._SY75_.jpg,img,-3421,-482.10000000009313,exist only in reference
https://m.media-amazon.com/images/I/61li1wjVHBL._AC_SY200_.jpg,img,-7812,-480.0999999998603,exist only in reference
https://m.media-amazon.com/images/I/61uqxM5x-1L._AC_SY200_.jpg,img,-5089,-689.8000000000466,exist only in reference
https://m.media-amazon.com/images/I/51A+-XkCCkL._AC_SY200_.jpg,img,-6017,-480.20000000018626,exist only in reference
https://m.media-amazon.com/images/I/71HqGW0LKgL._AC_SY200_.jpg,img,-7454,-691.2000000001863,exist only in reference
https://m.media-amazon.com/images/I/51ZnBH4OxpL._AC_SY200_.jpg,img,-3971,-481.39999999990687,exist only in reference
https://m.media-amazon.com/images/I/61IId+oIO0L._AC_SY200_.jpg,img,-7529,-690.0999999998603,exist only in reference
https://m.media-amazon.com/images/I/41OJMQn2frL._AC_SY200_.jpg,img,-2867,-480.10000000009313,exist only in reference
https://m.media-amazon.com/images/I/61oVWsRc1jL._AC_SY200_.jpg,img,-6777,-689.8000000000466,exist only in reference
https://m.media-amazon.com/images/I/81qLNmNOhoL._AC_SY200_.jpg,img,-9364,-479.19999999995343,exist only in reference
https://m.media-amazon.com/images/I/81K6VI9u9jL._AC_SY200_.jpg,img,-13933,-478.9000000001397,exist only in reference
https://m.media-amazon.com/images/I/512VTViDtrL._AC_SY200_.jpg,img,-12303,-481.80000000004657,exist only in reference
https://m.media-amazon.com/images/I/71foSNJZ-OL._AC_SY200_.jpg,img,-7514,-480.19999999995343,exist only in reference
https://m.media-amazon.com/images/I/51gdiwIxbGL._AC_SY200_.jpg,img,-7048,-479.89999999990687,exist only in reference
https://m.media-amazon.com/images/I/61M6OTb5ECL._AC_SY200_.jpg,img,-5996,-480.30000000004657,exist only in reference
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2020/May/Dashboard/Fuji_Dash_Laptops_379x304_1X_en_US._SY304_CB418608471_.jpg,img,-13748,-467.5,exist only in reference
